curr1,curr2,price
FIL,XBT,0.00012402162
FIS,EUR,0.32795046
FIS,USD,0.3749724
FLOW,ETH,0.0003479021999999
FLOW,EUR,0.7509473999999999
FLOW,GBP,0.6286301999999999
FLOW,USD,0.8221319999999999
FLOW,XBT,1.724472e-05
FLR,EUR,0.0163323539999999
FLR,USD,0.017876358
FORTH,EUR,2.987748
FORTH,USD,3.2905332
FTM,EUR,0.3679541999999999
FTM,USD,0.40234338
FXS,EUR,7.303941
FXS,USD,8.0779482
GALA,EUR,0.0243631799999999
GALA,USD,0.0266691599999999
GAL,EUR,1.68065838
GAL,USD,1.84458348
GARI,EUR,0.035091
GARI,USD,0.0377980199999999
GHST,EUR,0.8998335
GHST,USD,0.97933968
GHST,XBT,2.1074652e-05
GLMR,EUR,0.3749724
GLMR,USD,0.4090607999999999
GMT,EUR,0.3448943999999999
GMT,USD,0.3799854
GMX,EUR,47.713734
GMX,USD,52.466058
GNO,EUR,174.011256
GNO,USD,190.494
GNO,XBT,0.0040404779999999
GRT,EUR,0.157187628
GRT,GBP,0.134669232
GRT,USD,0.171805536
GRT,XBT,3.65949e-06
GST,EUR,0.0120311999999999
GST,USD,0.0150389999999999
GTC,EUR,1.1219093999999998
GTC,USD,1.2191615999999998
HDX,EUR,0.0169439399999999
HDX,USD,0.01814706
HFT,EUR,0.30218364
HFT,USD,0.33416658
ICP,EUR,12.4452738
ICP,USD,13.615308
ICX,ETH,0.00010196442
ICX,EUR,0.2211735599999999
ICX,USD,0.24232842
ICX,XBT,5.16339e-06
IDEX,EUR,0.0486361259999999
IDEX,USD,0.053378424
IMX,EUR,1.844784
IMX,USD,2.0142234
INJ,EUR,38.5439544
INJ,USD,42.204447
INTR,EUR,0.02526552
INTR,USD,0.0269699399999999
JASMY,EUR,0.0049829219999999
JASMY,USD,0.00546417
JTO,EUR,1.579165182
JTO,USD,1.727439696
JUNO,EUR,0.5644638
JUNO,USD,0.6165989999999999
KAR,EUR,0.190494
KAR,USD,0.2045303999999999
KAVA,ETH,0.0003228372
KAVA,EUR,0.69690726
KAVA,USD,0.76468302
KAVA,XBT,1.6292249999999996e-05
KEEP,EUR,0.170772858
KEEP,USD,0.186493626
KEEP,XBT,4.000374e-06
KEY,EUR,0.0046590822
KEY,USD,0.0051152651999999
KILT,EUR,0.3458969999999999
KILT,USD,0.380988
KIN,EUR,1.5710742e-05
KINT,EUR,0.5714819999999999
KINT,USD,0.611586
KIN,USD,1.6763472e-05
KNC,ETH,0.0002847384
KNC,EUR,0.60917976
KNC,USD,0.66191652
KNC,XBT,1.4297076e-05
KP3R,EUR,73.08954
KP3R,USD,80.10774
KSM,DOT,5.704794
KSM,ETH,0.018157086
KSM,EUR,39.061296
KSM,GBP,33.346476
KSM,USD,42.821046
KSM,XBT,0.0009083556
LCX,EUR,0.1243625039999999
LCX,USD,0.134919882
LDO,EUR,2.9165634
LDO,USD,3.1972914
LINK,AUD,21.435588
LINK,ETH,0.0061109272079999
LINK,EUR,13.164318467999998
LINK,GBP,11.2812552
LINK,JPY,2026.7559
LINK,USD,14.438171897999998
LINK,USDT,14.424315966
LINK,XBT,0.000307006146
LMWR,EUR,0.4787414999999999
LMWR,USD,0.52004862
LPT,EUR,6.376536
LPT,GBP,5.474195999999999
LPT,USD,6.978096
LPT,XBT,0.0001483848
LRC,EUR,0.23220216
LRC,USD,0.2536578
LSK,ETH,0.000502112106
